,Etiqueta 2023,Dispositivo,Marca,MODELO,S/N,MA:C :Ad:dr:es:s WiFi,Filtro,Numero Operativo
,D1433,Chromebook,ACER,R841(L)T series,NXAA5AA0041210C2D97600,8C:FD:F0:47:76:53,Touch,31
,D1434,Chromebook,ACER,R841(L)T series,NXAA5AA004138244ED7600,8C:FD:F0:4C:92:6E,Touch,32
,D1435,Chromebook,ACER,R841(L)T series,NXAA5AA00413910B1B7600,8C:FD:F0:4F:05:28,Touch,33
,D1436,Chromebook,ACER,R841(L)T series,NXAA5AA004138244B57600,8C:FD:F0:4C:AA:F6,Touch,34
,D1437,Chromebook,ACER,R841(L)T series,NXAA5AA0041372D9797600,8C:FD:F0:4E:8E:B0,Touch,35
,D1438,Chromebook,ACER,R841(L)T series,NXAA5AA004138244217600,8C:FD:F0:4E:D1:F8,Touch,36
,D1439,Chromebook,ACER,R841(L)T series,NXAA5AA0041210C3137600,8C:FD:F0:47:93:83,Touch,37
,D1440,Chromebook,ACER,R841(L)T series,NXAA5AA0041210BF097600,8C:FD:F0:4A:CB:00,Touch,38
,D1441,Chromebook,ACER,R841(L)T series,NXAA5AA00411719F4B7600,8C:FD:F0:44:4E:B1,Touch,39
,D1442,Chromebook,ACER,R841(L)T series,NXAA5AA0041372D95F7600,8C:FD:F0:4E:77:5E,Touch,40
,D0753,Notebook,Dell,VOSTRO 14 - 3405,4238ZJ3,C8:94:02:7A:A2:1D,Dell,1
,D0757,Notebook,Dell,VOSTRO 14 - 3405,5Q3W3G3,90:0F:0C:B5:5E:0F,Dell,2
,D0828,Notebook,Dell,VOSTRO 14 - 3405,J89N3G3,90:0F:0C:E5:85:1D,Dell,3
,D0755,Notebook,Dell,VOSTRO 14 - 3405,9VGV3G3,90:0F:0C:B4:A4:99,Dell,4
,D0756,Notebook,Dell,VOSTRO 14 - 3405,7BDQXF3,90:0F:0C:1A:91:47,Dell,5
,D0754,Notebook,Dell,VOSTRO 14 - 3405,H3JRXF3,90:0F:0C:1A:89:17,Dell,6
,D0750,Notebook,Dell,VOSTRO 14 - 3405,C9NX3G3,90:0F:0C:E5:9D:D5,Dell,7
,D1388,Chromebook,Acer,Chromebook CB315-3H,NXATDAA00E3310E1B57611,AC:19:8E:31:11:04,TIC,1
,D1391,Chromebook,Acer,Chromebook CB315-3H,NXATDAA00E327053E47611,50:28:4A:C1:0A:11,TIC,2
,D1338,Chromebook,Acer,Chromebook CB315-3H,NXATDAA00E327053E77611,50:28:4A:C1:1B:FA,TIC,3
,D1337,Chromebook,Acer,Chromebook CB315-3H,NXATDAA00E329024D07611,AC:19:8E:30:58:72,TIC,4
,D0168,Chromebook,Lenovo,Chromebook C340-11,PF32YGC6,F4:B3:01:E5:68:34,Touch,1
,D0173,Chromebook,Lenovo,Chromebook C340-11,PF2PJKZK,E8:F4:08:07:CA:BA,Touch,2
,D0166,Chromebook,Lenovo,Chromebook C340-11,PF2SBZNP,64:BC:58:D8:C3:F9,Touch,3
,D0169,Chromebook,Lenovo,Chromebook C340-11,PF2VMRPZ,28:D0:EA:6E:65:27,Touch,4
,D0172,Chromebook,Lenovo,Chromebook C340-11,PF2PT7J9,84:1B:77:4C:8E:1B,Touch,5
,D0164,Chromebook,Lenovo,Chromebook C340-11,PF2TCQ75,28:D0:EA:1E:F6:FE,Touch,6
,D0161,Chromebook,Lenovo,Chromebook C340-11,PF2PHMKV,E8:F4:08:23:BC:B1,Touch,7
,D0176,Chromebook,Lenovo,Chromebook C340-11,PF2PTABK,E8:F4:08:D5:E0:58,Touch,8
,D0160,Chromebook,Lenovo,Chromebook C340-11,PF2VMWHA,28:D0:EA:06:EA:7D,Touch,9
,D0182,Chromebook,Lenovo,Chromebook C340-11,PF2TDXWL,1C:99:57:80:85:2C,Touch,10
,D0163,Chromebook,Lenovo,Chromebook C340-11,PF2Y3526,64:6E:E0:96:77:BA,Touch,11
,D0178,Chromebook,Lenovo,Chromebook C340-11,PF2VFBVQ,1C:99:57:4E:90:3A,Touch,12
,D0112,Chromebook,Samsung,XE500C12,9541V,6C:29:95:60:55:13,Plani,1
,D1546,Chromebook,samsung,XE500C12,1bef9fcg505702,6c:29:95:73:25:8f,Plani,2
,D0116,Chromebook,Samsung,XE500C12,7163Z,6C:29:95:60:B3:CD,Plani,3
,D1547,Chromebook,samsung,XE500C12,0gx591egb12110,6c:29:95:88:5e:0f,Plani,4
,D0110,Chromebook,Samsung,XE500C12,9942B,6C:29:95:60:3B:E1,Plani,5
,D0111,Chromebook,Samsung,XE500C12,6614J,6C:29:95:61:F4:4F,Plani,6
,D0118,Chromebook,Samsung,XE500C12,9804,6C:29:95:73:14:8C,Plani,7
,D0189,Chromebook,Samsung,XE500C12,3476L,6C:29:95:6B:3A:B4,Plani,8
,D0109,Chromebook,Samsung,XE500C12,5937E,6C:29:95:87:AA:37,Plani,9
,D0117,Chromebook,Samsung,XE500C12,9882T,6C:29:95:61:8E:24,Plani,10
,D0248,Chromebook,Samsung,XE500C12,2715L,6C:29:95:74:BC:6F,Plani,11
,D0184,Chromebook,Lenovo,Chromebook C340-11,PF2QBYNN,C0:3C:59:16:14:9E,Touch,13
,D0174,Chromebook,Lenovo,Chromebook C340-11,PF2YCVYJ,F0:9E:4A:D5:28:07,Touch,14
,D0159,Chromebook,Lenovo,Chromebook C340-11,PF2SC1TR,C0:3C:59:40:42:55,Touch,15
,D0185,Chromebook,Lenovo,Chromebook C340-11,PF2WM2CG,1C:99:57:5E:5C:18,Touch,16
,D0179,Chromebook,Lenovo,Chromebook C340-11,P209RSKC,DC:1B:A1:6C:46:70,Touch,17
,D0165,Chromebook,Lenovo,Chromebook C340-11,PF2WM2B0,1C:99:57:5E:5C:2C,Touch,18
,D0180,Chromebook,Lenovo,Chromebook C340-11,PF2PTJ0D,E8:F4:08:D4:FA:8A,Touch,19
,D0162,Chromebook,Lenovo,Chromebook C340-11,PF2THBCS,C0:3C:59:3E:D1:D1,Touch,20
,D0175,Chromebook,Lenovo,Chromebook C340-11,PF2TEGCR,28:D0:EA:70:01:B6A,Touch,21
,D0689,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB06567,50:2F:9B:8E:AF:76,Touch,22
,D0692,Chromebook,Samsung,XE520QAB'K04US,3VW29FHRB01637,50:2F:9B:90:66:9F,Touch,23
,D0694,Chromebook,Samsung,XE520QAB'K04US,3VW29FHRB00051,50:2F:9B:8C:0B:F4,Touch,24
,D0697,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB01879,50:2F:9B:8C:DF:02,Touch,25
,D0696,Chromebook,Samsung,XE520QAB'K04US,3VW29FNR800805,B4:0E:DE:B2:9A:49,Touch,26
,D0690,Chromebook,Samsung,XE520QAB'K04US,3VW29FNR801057,B4:0E:DE:B2:9A:80,Touch,27
,D0693,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB01560,50:2F:9B:8D:27:32,Touch,28
,D0691,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB04057,3VW29FNRB04057,Touch,29
,D0695,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB02533T,--,Touch,30
,D1258,Tablet,,,,,,1
,D0854,Tablet,,,,,,2
,D1257,Tablet,,,,,,3
,D1266,Tablet,,,,,,4
,D0852,Tablet,,,,,,5
,D0855,Tablet,,,,,,6
,D0849,Tablet,,,,,,7
,D0847,Tablet,,,,,,8
,D0853,Tablet,,,,,,9
,D0856,Tablet,,,,,,10
,D1265,Tablet,,,,,,11
,D0851,Tablet,,,,,,12
,D1259,Tablet,,,,,,13
,D0848,Tablet,,,,,,14