site_code,etiqueta,categoria,dispositivo,marca,modelo,sn,mac,numero,alias_operativo,estado,prestada,comentarios,rol,ubicacion,motivo,fecha_prestado,fecha_devuelto,ultima_modificacion
,D1189,Plani,Plani,,Plani,,,1,Plani 1,Disponible,,,,,,,,
,D1190,Plani,Plani,,Plani,,,2,Plani 2,Disponible,,,,,,,,
,D1187,Plani,Plani,,Plani,,,3,Plani 3,Disponible,,,,,,,,
,D1193,Plani,Plani,,Plani,,,4,Plani 4,Disponible,,,,,,,,
,D1191,Plani,Plani,,Plani,,,5,Plani 5,Prestado,,,,,,,,
,D1195,Plani,Plani,,Plani,,,6,Plani 6,Disponible,,,,,,,,
,D1194,Plani,Plani,,Plani,,,7,Plani 7,Disponible,,,,,,,,
,D1188,Plani,Plani,,Plani,,,8,Plani 8,Disponible,,,,,,,,
,D1192,Plani,Plani,,Plani,,,9,Plani 9,Disponible,,,,,,,,
,D1186,Plani,Plani,,Plani,,,10,Plani 10,Disponible,,,,,,,,